Description;Category
"Good Morning!

Our company, ADS Data Direct, is looking for a Data Scientist! 

This is will be a test opportunity that will turn into a long term opportunities. Benefits, hourly salary, and bonuses will be discussed during the interview process!

A couple things to expect include:

Stardardize large files
Merge the files together.  
Provide data from those files based on the fields we give them and send us the data sets.  
Be able to upload it to our FTP and help us deliver data regularly.  
The biggest challenge is working with a terabyte of data. 

Let us know your background, resume, and looking forward to hearing from you! :)

Best,

Andy S.";Data Science
"For our newsletters and flyers that we send by mail, we need email and postal addresses.

Task: 
1. We give you the institutions to look for. 
2. you filter the addresses and create an Excel sheet.

We are talking about regional addresses.";Data Scraping
"Deadline: March 6th, 2023

Go through an online learning experience to review and provide feedback on Classify Data and Make Predictions With KNN and SVMs Learning content based in Python and ensure the accuracy of coding exercises and provide feedback on the instructions. For this job you will be asked to:
- Go through an online learning experience and complete the practice coding activities using Python and pandas in Jupyter Notebooks to provide feedback on learning content.
- Provide feedback on the activity instructions and accuracy by filling out a provided QA template and writing in-line comments in a Jupyter Notebook.
- Submit coded solutions in the Jupyter Notebooks with feedback on the coding prompts and code required to solve them.

We are looking for candidates that have experience in:
- Python and pandas
- Supervised Machine learning
- Classification
- Data cleaning
- Train/Test split
- Model creation and training
- Model evaluation

Please confirm you can meet the March 6th, 2023 due date.";Data Science
"We have initial NN structure and data-set, we are looking for someone to finish the project:

- Analyse training / prediction performance, fix bugs
- Perform optimization of NN 
- Train the model & help with integration

Preferred someone with experience in NN and tensorflow who could work full time for 2-3 weeks.";Machine Learning
"URL WITH SAMPLE CODE: https://github.com/amiradridi/Job-Resume-Matching

Requirements: - 
1. Enhance the existing app to use https://api.lightcast.io/apis/skills - this can be invoked periodically to get skills. Caching to be implemented and resultant json file saved on DB.The skills.json file which is used in conjunction with labels.json should instead use the lightcast API.
2.Enhance the matching rules (Rules.py) to also accept matching by different criteria or weight matching by different parameters( University Name, Gender, Race (??) etc)
3. Currently the data used (job_description.csv, resumes_by_spacy.csv) are pre-generated and used. This should be driven from passing in resumes and job specification.
4. The degrees.json and majors.json should be enhanced to cater for all degrees and majors in the world (include UK degrees naming and awards)
5. The resume ranking should show attributes used to rank (each attribute score shown) with overall rank showing the job it ranked and the resumes in order of priority. (Top 10 )
6.Ranked scores should be persisted to the database and if nothing has changed the app should return the persisted scores.
7. Currently the app parses all resumes and all job postings. We need the segmentation of skills to be done from the skills.jso and labels.json so that professional skills of a given profession are demarcated and grouped together. i.e if we have say for example skills for a data scientist, pharmacist, Physicist, BioInformatician, Psychologist etc etc  demarcated and we get resumes of a Pharmacist to parse against a Pharmacist role, we would only consider the skills and taxonomy that pertains that profession and not waste compute resources trying to match skills for other professions not related to say Pharmacist.";Data Scraping
"I have had an engineer who has taken a leave from our company for an undetermined amount of time.  I am looking for someone who I can contract out work to if we need adjustments/improvements made to the spreadsheet going forward.  Thus there is not any particular project or job, but just an on-going support (analogous to IT support I suppose).

Is this something you would be interested in doing?

Sincerely,
Gordon Leaf
President
Sunset Memorial & Stone Ltd";Data Extraction
"Hello Martin.  This one seems fairly simple even though its very frustrating for me.  I have to enter dates into a platform.  The dates i have are in 3 columns but I need them to read ' 12/07/22"" for example.  I've been painfully entering them one by one.  I've already spent too much time on this.  I have several more reports to work on (each with a few hundred lines)";Data Analysis
Option strategy developer through algorithm in Derivatives;Python
"We have on our website a coverage per product visualisation: https://level421.com/coverage/

Each of our products does offer a different coverage. Coverages does change over time.

Starlink for example does visualise their coverage with the following map: https://www.starlink.com/map

We are seeking for a convenient tool we can dynamically edit coverages on a per country base via a backend. This shall automatically visualise on the website.

Informative to the end user, we do provide coverage either by SATELLITE or by 4G/5G GSM. Within a legend, we want to provide as additional information to the end user, which countries are covered with which kind of technology.

As some countries are really small and might not get proper shown on the map, we want also a verbal list of countries to be provided in the visualisation. Just for the end user to be sure that service also can be provided in small areas such as Andorra, Monaco, San Marino or other places.

Optional to the contract, coverages on waters can be included, such for example East Sea, Black Sea, North Sea, Baltic Sea ect...

For Maritime coverage visualisation, an additional milestone will be provided.";HTML
"create a forecast map with temperatures updated.

grab datas from api open weather, create a list of countrys from all continents and match the temperatures .

celcius fareneith and kelvin needed.

place those datas in a db and display the temperatues on a high resolution world map.
https://en.wikipedia.org/wiki/Wikipedia:Blank_maps#/media/File:BlankMap_World_simple.svg

this world map, must have an automatic update of the countrys temperatures in real time with the datas collected";Python
Looking for Medicare star ratings and area populations (5, 10, 25 mile radius) for 4 NH properties in FL, USA.;Researcher
I do have child atlas wants to apply on surface level and refine some images;Data Science
"From the perspective of actuarial pricing model and insurance product design (property insurance, or non-life insurance), suggestions and guidance on the sales side; Please give examples of the customer analysis, product positioning, or the data and direction of the project that the salesperson should focus on.

Please search and organize a 30-mins speech draft as well as a PowerPoint.";Data Science
"With an iOS or Android phone, record video of a ball bouncing against a wall back and forth (see examples) - variation is desired.

Produce lots of video clips
- 5-30 seconds each
- so 3-20 bounces agains the same wall: throw/roll - bounce - catch - repeat
- perhaps 5-20 video clips of each situation with slight variations. below are some ideas
- record in portrait mode

Ideas:
- If you have more than one ball at hand, use different ones. ideally 5-10 cm in diameter. Could possibly work with larger ones too but the ideal ball is smaller than a football and larger than a golf ball, closer to a tennis ball...
- use different rooms and different walls with varying textures on the floor and wall, with carpet, without carpet etc
- do it from different angles
- Potentially you could handhold the camera in 10-30% of them so that there is some movement, nothing och erratic though. For at least half of them: put the phone camera on a stand or prop it up against something to get a completely static image without any camera movement
- Use a smartphone camera, but if you can, use more than one phone so that the variation in optics etc are represented
- a varying amount of random background noise would be good too. Sometimes complete silence, sometimes a tv on, someone doing the dishes, whatever you can come up with that might happen in a household
- hands in the shot, no hands, feet, ...: all ok, again, variation is good
- the start and end does not have to be perfectly timed, it is a good thing if a minority of the clips include picking up the phone, laying down the phone or framing incorrectly at the start/end, like a normal user would if this was part of a mobile ar game

For each video file, count the number of bounces against the wall. then create a text file next to the video file with the same name but a different extension. Example:

IMG_3221.mov
IMG_3221.txt

Keep the video filename as it comes out of the phone, that’s fine, doesn’t have to be exactly IMG_…

In the text file, add your observations, using the structure below. After each colon, specify bounce count and ball color. And for type specify either steady or handheld.

bounces:
color:
type:

Or if you prefer, you can use a Google sheet or excel and use the corresponding columns i.e filename, bounces, color, type, with each video clip on its own row.

Perhaps this is a quicker workflow than the text files? The data is easy to consume either way

Why do all of this? We are training a machine learning model that once trained on a sufficient amount of data, is supposed to be able to watch other videos and make good predictions about ball color and no of bounces. We intend to do this visually but might also attempt to do it by audio analysis, so variation in the audio situation is good too - including making noises a naive mode might interpret as a ball bounce

If the AI model eventually gets good enough it might be used in a mobile game where the user is supposed to bounce a ball and the app keeps track of the count automatically.";Data Collection
"Looking for data engineer, with ETL, SQL Server, Oracle, R, Python, Azure. 

if you know some statistical analysis will be great.
Only freelancers and must work in USA hours.

Posted my budget in job so anything above will be rejected.";Data Analysis
I have raw data of 50k rows. The spreadsheet is very poorly formatted need to uniform the formatting and  information. Also Need to remove out duplicates and bad data.;Data Segmentation
I'm looking for an expert in Alteryx who given sample subset of anonymized data can create small apps for data treatment;Alteryx, Inc.
"Porifera is a startup company building a data collection and integration platform for Cyber Security Industry. The developer will be working with the head of development and other developers to develop pre-defined detailed architecture and design.

Requirements:

1. BSc. of Computer Science or equivalent experience.
2. 5 years of experience in software development.
3. Hands-on experience in systems programming using Golang.
4. Familiar with SCM Software (e.g., git), CI/CD, testing frameworks
5. Able to write scalable, efficient, clean and testable code.
6. Knowledge of software design principles, different programming paradigms (for example OOP vs Functional and the trade-offs between them), design patterns, etc.

Pluses:

- Experience with Java, MongoDB, SPA Frameworks (especially Angular), JavaScript, TypeScript and frontend web development (HTML, CSS).
- Experience with Apache Kafka
- Experience with containerization systems such as docker and Kubernetes.
- Experience working in the field of Cyber-Security";Golang
Need a data analyst who is proficient in working with Excel that can help to analyse our data and also create a dashboard;Data Visualization
I'm trying to connect an API (https://api.storedgefms.com/docs/v1.html) to PowerBI;Microsoft Power BI
"This job will only commence on the 27th Of Feb 2022, 

I will share a video of a meeting I have with team members regarding what issues they have on their excel, whereby it freezes and locks up, 

Its a very very complex excel, but I think most of it works already, 

Due to it needing credentials to log into the work domain I cannot share these details with you, However We can arrange certain work hours whereby you can remotely use my PC whereby I will log in when ever needed and you can fix the issues, 

I will monitor what you do not for time recording purposes but just for security purposes, so if we discuss and its 100 $ and you take 2 hours to fix everything than great for you and me we can both move on happily. 

I will be sure to synch up a time slot whereby both parties are available for collaboration, 

My typical hours of availability are as follows: 

in GMT +2 time zone  (12h30 to 16h00 )  ( 19h30 to 23h00 ) 
Alternative times can be made if required. 

Time to complete it about a week should suffice so around first week march";Data Analysis
"bioinformatics admin support.  We create online platform and need supper with operational tasks. 
emails, verification, platform testing etc";JavaScript
Using data downloaded from leasing software create an excel workbook that provides an analysis of data provided to show monthly performance and charts KPI's and results.;Data Visualization
I need to do analysis for my master thesis and I really need your help. I have panel data and I need to do descriptive statistics, Fixed Effects and Random Effects models and GMM for robustness check in Stata plus graphs. I am in a little bit of a time crunch and need the results within a week and I don’t know if it’s possible or not. I have the data and it is ready for analysis.;Data Analysis
"Given the following data:


1. List of prices - 8-10 different possible prices to be assigned
2. Product ids and revenue per product id


Write a python function that assigns prices from the price list to every course id, so that the total Price Weighted Average (weighted by revenue) approximates a given Target Price Weighted Average

The function should work with different combinations of possible prices to be assigned and revenues per product id

In other words, what price should I assign to each product to obtain a specific overall target weighted average price";Data Science
"AWS Athena / Glue ETL / Data Schemas / Postgres Ingestion / ETL Jobs

- Ingest Athena data to Postgres
- Fix Athena schema issues
- Design ETL jobs in Glue Data Brew
- Implement Glue ETL jobs in Python a Shell

- AWS QuickSight Experience (IF POSSIBLE - BUT NOT REQUIRED)";Data Engineering
"To generate a 3D point cloud using photogrammetry, we need a suitable algorithm for our iOS iPAD application.

The 3D points are based on the robust recognition of distinctive real corner and crossing points (2D pattern recognition).
The starting point of the pipeline is the SDK function of ARKit (iOS/apple). Here, individual frames with intrinsic and extrinsic camera parameters are made available from the video stream.

The necessary pipeline consists of the following components:

1. ARKit

2. frame

3. Pattern recognition/ 2D feature for prominent corner points

4. Matching of the 2D feature between the individual frame sequences

5. Triangulation and reconstruction of the 3D points between the keyframes

6. local bundle adjustment (Ceres solver) for each individual measurement 

7. Storage of the 3D points of each local single measurement in a common global reference system (octree).

The 3D point cloud is used to overlay or register CAD models with reality (augmented reality). (Not part of the task)

The following skills and experience are beneficial for the project:

- Image Processing ( 2D feature / Descriptor / Matching)
- openCV
-Photogrammetry (Camera model)
- GPU (OpenCL /Metal)
- 3D reconstruction
- Ceres solver BA

A prototype for the pipeline already exists.
The task is to extend and optimize the algorithm.";Computer Vision
"- We are looking for a person who can provide us with 2 articles per week.
- We are keen on knowledge regarding the business side of ML, AI and other Data Science solutions. 
- Our blog is aimed at business people, not technical people. 
- The goal is to educate regarding the possibilities behind Data Science solutions.";Data Science
"We are looking for a hotel and it's property for sale. We'd like to go to the bank for a leverage buyout so then we'd need to see their financial statement (preferably audited version ones).

I need you to conduct a research, possibly reach out to their PIC to fill in their property's & financial detail.

Please check here :
https://docs.google.com/spreadsheets/d/1a3-46emNsQE5sa2MW6dUCUexOV1Xc75m9eECTa4WIpc/edit#gid=0

Criteria : 
- We're looking for the ones that are located in south east asia, located in high tourist traffic locations such as Phuket & Bali, as well as generating at least 28% net income/revenue ratio since the past 5 years.
- Hotel for sale, which generates net income since the past 5 years and the net income continuously exponentially growing
- The net income should be at least 28% of the revenue since the past 5 years continuously hence never drops through out the 5 year period
- If we buy it through a leverage buy out, hence it means; the forecasted monthly net income should be able to cover the monthly installment payment. We can check this by analyzing the past 5 years net incomes.
- The Financial Statement has to be audited by a well known financial public accounting firm

----------

You can find your own way in how to retrieve the data, but here's my method that you'd want to know : 
Just go to google, ex : 'find a hotel for sale in Bali'. Then reach out to the property seller's Person In Charge, prnt.sc/w3QRlxZqTFFb. Then you can ask them all of the details I've specified in the Gsheet hence fill in the Gsheet accordingly.

Let me knows if you are confident to succeed on this.

--------

Which Payment Scheme would you like to go with ?
 
A. Paid $50 per 10 audited financial statement based on good audited financial report according to the criteria above (You are required to hold a financial/accounting degree or CFA)

B. Paid $50 per 100 audited financial statement just based on Jakarta or Bali location financial report according  (easier)";Data Extraction
"I have carried out some measurements.

I need to develop a prediction model. 

This is a regression project.

There is a need to carry out proper EDA and data cleansing

Freelancers must achieve certain score values (R2_score must be greater or equal to 0.85)


The freelancer must sign an NDA form before work commences. 

The budget is not a placeholder. 

There will be more opportunities to collaborate in future projects 

I need a quick turnaround for this. Say 2-4 hours";Machine Learning Model
"We are seeking an experienced Google Sheet expert to build a custom sales tracking sheet for a one-off project. The ideal candidate should have a strong background in creating complex Google Sheets with a focus on sales tracking and reporting.

Responsibilities:

-Collaborate with our team to understand our sales tracking needs and develop a customized Google Sheet solution that fits our requirements.
-Create and manage formulas, functions, and scripts in Google Sheets to automate and streamline our sales tracking process.
-Design and format the sheet to make it user-friendly and visually appealing.
-Ensure the accuracy and completeness of the data and troubleshoot any issues that arise.

Requirements:

-Proven work experience as a Google Sheet expert, with a track record of building and improving sales tracking sheets.
-In-depth knowledge of Google Sheets, including formulas, functions, and scripting.
-Strong analytical and problem-solving skills with attention to detail.
-Excellent communication and interpersonal skills, with the ability to work collaboratively with our team.
-Availability to work remotely and meet project deadlines.

If you have the skills and experience required for this job, we encourage you to apply. Please submit your resume, a brief cover letter, and examples of your previous work in Google Sheets. Note that this is a one-time project and will not require direct training of our team members.";Data Analytics
"If one day you want to be a top 0.01% data-driven PLG/UX/product leader, growth hacker, global speaker, influencer, content creator, entertainer, or start your own business or have your own YouTube channel, this is an opportunity for you.

At athenno.com we make entrepreneurship and commercial innovation accessible and successful for all on Earth.

This is an unpaid flex-time internship where you will be able to learn a lot about startups, commercial innovation, fundraising, consulting, being a digital nomad and traveling the world, working remotely, starting your own business, scientific and mathematical customer science, UX design, software architecture and engineering, data science, product management, philosophy of the law, administrative law and more.

If you are able to achieve results, then relationships can grow in any direction, including employment or partnership with a performance-based bonus/commission.

-

You will be assisting the Founder & CEO in different marketing, growth, content, community management, UX research, design, and other 360-degree product marketing management tasks.

Mandatory:

- You have strong moral values, empathy, curiosity, intuition, design, aesthetics and fashion sense, discipline, and a passion for people, stories, innovation, startups, data science, and technology.
- You are independent, competitive, creative, energetic, fun, results-oriented, precise, logical, and operational with strong common sense, thinkability, learnability, and attention to the smallest details, and you read and write hella a lot.
- Preference is given to minorities, students from poor backgrounds, ENTJ/INTJ/ENTP/INTP

Must have some of these:

- Basic experience in community management, education, content creation, YouTube/Instagram/TikTok, SEO, growth, PLG, networking, sales, lead generation, market research, business analysis, management consulting, pirate metrics, funnels, acquisition, and/or conversion.
- Basic knowledge of system design, flowcharts, UX research, UX laws, Figma design systems, Miro wireframing, innovation, entrepreneurship, continuous discovery, jobs-to-be-done, opportunity solution trees, tech startups, agile, lean, design sprint, etc
- Basic knowledge of tools like CRMs, Google Marketing Suite (Google Tag Manager, Analytics, Console, Data Studio, Ads, etc), Facebook Business, Canva/Figma, Squarespace/Wordpress, Mailchimp, Notion, Google Drive/Slides/Docs/Spreadsheets, and Miro.

To apply, besides sending your proposal here, send a good private message to Mev-Rael on LinkedIn, and think about what a ""good"" message should look like based on what you have read here and your thinking through.";LinkedIn
"I need to do an SEO audit and GA review for a site we're looking to grow.

Need to understand

Traffic
Conversions
Easy fixes SEO
GQA analysis for revenue improvement

And so on

Basically trying to understand the short and medium term fixes (if there are any) to increase revenue based on the high traffic.

Need analysis done asap.";Data Analysis
continue the work from before like i said we are nearly done;Data Science
Am looking for people who can analyse statistics  in my website the shortest time possible and help in distributing all activites for the company.;Data Science
"Dear Upworkers,

Our Scientific Research Company is looking for an Academic Researcher & Writer for the purpose of publishing several research papers in reputable academic journals. 

Please apply with your google scholar link if you have experience getting published in high ranking, reputable journals in any discipline that involves Mathematics, including Quantitative Finance, Probability Theory, Statistics, Physics, or other similar subjects.

The area of writing will be strictly related to Quantitative Trading systems & Strategy Validation & HFT & Execution & similar, related areas.

If you apply, we will send you a detailed briefing on how exactly to submit a proper research proposal with pricing, and get it funded by us.

Please note: you should be well versed with python based data analysis, have a basic knowledge working with financial time series, backtests, portfolio management and general subjects in quantitative finance. Please do not apply if these subjects are foreign to you, and you don't want to learn them.

If you work as faculty at a reputable institution or as reviewer at a reputable journal, that will be considered as a significant advantage when evaluating your application.

Please apply with confidence!";Data Science
"I have a list of 1000 company name.

I need.
Company Website
Founder
Facebook Page
Instagram Page
Twitter Page
CEO Email
Company Email";Data Scraping
"Dear all, we take part of a large event/exposition with an contact database (Market - Country - Company - Contact - Name,Function, Email).  We could manually go into the company list, see the employees of the company and copy their email; But we are looking for an automated service that does that and extracts all names, company and emails out of that listing. It's about 1500 contacts. You first have to login into the event intranet and you'll find the listing.";Data Scraping
"Not available at the moment
 Not available at the moment";Data Visualization
"We are looking for a computer vision expert to build a system that can detect the room type of indoor real-estate images. Examples of room type include living room, bedroom, bathroom, dining room and kitchen. Additionally, later on we would also need to detect objects present in the room (e.g., bed, sofas, dishes etc.)

The images would generally be of high resolution. We're flexible on the budget, and the main requirement is that the accuracy is very high.

Please share relevant experience while applying.";Machine Learning
"Requirements: -Set up Google Analytics (UA) and Google Analytics 4 in GTM; -Set up e-commerce tracking (revenue, transactions, quantity, refunds, add to cart, upsells) in GTM; -Set up Google Ads tracking (general tag and conversion tracking, where conversion is purchase) in GTM; -Set up Bing Ads tracking (general tag and conversion tracking, where conversion is purchase) in GTM; -Set up Facebook Pixel and Facebook Ads tracking (general tag and conversion tracking, where conversion is purchase) in GTM; -Set up HotJar in GTM; -Set up upsells tracking in GTM.";Google Analytics
"Job Position:   Data Analyst
Job Type : Full Time
Location:Remote
Job Duration:Minimum 6 months
Experience Required: 3+ Years

Responsibilities

•	Develop reports and dashboards from multiple datasources using 
a.	SQL Server Management Studio
b.	T-SQL
c.	Tableau Desktop / Tableau Online
d.	SSRS
e.	Report Builder 
f.	Visual Studio.
•	Perform complex data analysis to identify trends, perform reoccurring and ad-hoc business intelligence requests
•	Design, develop and establish KPIs to monitor analysis and provide strategic insights to drive growth and performance
•	Create user-friendly and dynamic Tableau dashboards with KPIs, Heat Maps, Scatterplots, Bar Charts, Slicers, Drill down, features with the understanding of when to use them
•	Develop standardized metrics to evaluate and benchmark as it pertains to short/long term resource planning and forecasting
•	Communicate complex analysis and insights to stakeholders and business leaders, both verbally and in writing
•	Address departmental analytics requests and facilitate needed data acquisition to support internal projects, special projects, and investigations
•	Establish best practices for Tableau reporting and dashboard development 
•	Administer and support a Tableau infrastructure including 
a.	Manage users, groups, licenses Active Directoryetc
•	Assess current state and identify opportunities for improvement 
•	Stay abreast of new Tableau releases and enhancements, and bring them into the platform and organization
•	Provide testing support for Dev,QA
•	Establish automated reporting and visualization exhibitsto analyze trends and patterns and improve data quality

Skillsets

•	Bachelors in Computer Science in IT or equivalent work experience 
•	3+ years Tableaurequired  
•	3+ years of SQL, including queries, stored procedures, functions, views
•	3+ years SSRS
•	Dashboard design, data reporting, and data manipulation tools 
•	Proficiency in MS Office suite (incl. Report Builder, PowerPoint, Microsoft Excel ,Access)
•	ETL using Microsoft SSIS, Visual studio or related tools
•	Ability to analyze complex data structures and SQL code with minimal direction

Payment will be done  via Upwork platform only. No direct hiring will be entertained.";Data Analysis
"We're a small team building a new kind of social network. We have pre-seed funding from silicon valley and are looking for a ninja neo4j back-end engineer to join our back-end team. 

Your responsibilities include working with a ~12TB dataset, importing it, creating relationships, building complex highly performant cypher queries, and exposing it through an API.

If you don't have experience working with large datasets on neo4j, you'll struggle with this project and would recommend against applying.

I'll share more details about the project in chat.";Big Data
"Extract the users and contributors of these 2 repos:
https://github.com/neo4j/graphql
https://github.com/neo4j/neo4j-javascript-driver

When you go to these links and then click on ""Used by"" on the right side, you'll see all the repos/usernames who have used this library before.
Also, if you go to Contributors on the right, you'll get the github usernames.

When you go to the profile of a user, you'll see their full name and email along with other information. Using the github username you should be able to extract the fullname, and email of the user. To do this task you could leverage PhantomBuster to get contributors, but need to figure out how to get users: https://phantombuster.com/phantombuster?category=github

To get emails, you could use PhantomBuster, or also using a tool like this to extract the email: https://github.com/paulirish/github-email

I want a CSV file with the following column names:
- Fullname (if available)
- Location
- Twitter/LinkedIn/any other links (if available)
- Email
- Which repo?
- Type (contributor or user?)";Data Scraping
"We are looking to create a custom website with a slick and professional design, and a special data visualisation feature. We don't want a dashboard, but we do want a creative way to display a number of varying opinions in one beautiful webpage. 

We will have a data set that will be regularly updated, and we want the website to pull through that data and visualise it on the website. 

The data will be mostly made up of text and people's opinions (similar to this https://upload.wikimedia.org/wikipedia/commons/6/65/Cognitive_bias_codex_en.svg?ref=insanelyusefulwebsites)

But we want it to be simplified and easy to understand quickly. 

The exact creative treatment of the data is yet to be established, but we would like applicant for this job to have clear examples of creative data visualisations that pull information from a live data set. 

To apply, please supply the following:
Examples of your work that showcase live data visualisation. 
Other examples of professional website builds. 

Many thanks.";Data Visualization
"I need several websites researched for a list of their providers.  The list needs to go to an excel spreadsheet. It is preferred to find the email address for each person on the website.  Here is a sample of a website:

https://www.aspenlaser.com/find-a-medical-professional/

I basically need healthcare providers listed on the websites.

Excel spreadsheet should include:

First Name
Last Name
Title (DC, MD, PT, DO)
Clinic Name
Clinic Address Line 1
Clinic Address Line 2
Clinic Address Line 3
City
State
Zip 
Country
Phone
Fax
Email
Website";Data Mining
"Title: Deep Space Artificial Intelligence Engineer

Job Description:

We are seeking a skilled and experienced Deep Space Artificial Intelligence Engineer to work on our cutting-edge project for early asteroid prediction. As a part of our team, you will be responsible for designing, developing and implementing AI algorithms that will enable accurate and timely detection of asteroids heading towards Earth.

Responsibilities:

Collaborate with a team of researchers and engineers to design and develop AI models for early detection of asteroids.
Implement and test algorithms to improve the accuracy and speed of asteroid detection.
Evaluate the performance of the models and optimize them based on the results.
Use big data techniques to process large sets of data and develop models that can handle real-time data streams.
Communicate the results and findings to the project team and stakeholders.
Requirements:

Strong experience in AI, machine learning, and deep learning.
Proficiency in programming languages such as Python and Java.
Strong understanding of data analysis and statistics.
Familiarity with big data technologies such as Hadoop, Spark, and NoSQL databases.
Experience working with real-time data and developing models for time series data.
Strong problem-solving and critical thinking skills.
Excellent communication and team collaboration skills.

Preferred Qualifications:

Experience in the field of space science and exploration.
Experience with satellite data processing and analysis.
Experience with data visualization and presentation.
Location: Remote or Onsite (if feasible)";Data Analysis
We need help to work with specific PostGIS related issues, but we are looking for an expert to be available throughout the year to help with proper implementation and usage;Geospatial Data
"Dear Upworkers,

Our Scientific Research Company is looking for an Academic Researcher & Writer for the purpose of publishing several research papers in reputable academic journals. 

Please apply with your google scholar link if you have experience getting published in high ranking, reputable journals in any discipline that involves Mathematics, including Quantitative Finance, Probability Theory, Statistics, Physics, or other similar subjects.

The area of writing will be strictly related to Quantitative Trading systems & Strategy Validation & HFT & Execution & similar, related areas.

If you apply, we will send you a detailed briefing on how exactly to submit a proper research proposal with pricing, and get it funded by us.

Please note: you should be well versed with python based data analysis, have a basic knowledge working with financial time series, backtests, portfolio management and general subjects in quantitative finance. Please do not apply if these subjects are foreign to you, and you don't want to learn them.

If you work as faculty at a reputable institution or as reviewer at a reputable journal, that will be considered as a significant advantage when evaluating your application.

Please apply with confidence!";Data Science
* Develop and implement reusable architecture of data pipelines including Machine Learning and Analytics. * Work comfortably with structured and unstructured data in programming language SQL, R, Python, Java. * Understand meta-data management system and designing pipelines. * Exposure to AI/Model development;Data Science
"We are looking for someone to create crawl dashboards for our SEO clients. The requirements are:
- Set up an automated weekly Screaming Frog crawl
- Data to be visualised in Google Data Studio (Looker Studio)
- Export of specific reports, for example All redirects, 404 inlinks

Must have experience and knowledge of SEO stats, Data Studio and Screaming Frog.

Please submit an example dashboard for such project you have created in the past.";Google Data Studio
"We require a data scraper, who can scrap data of Influencers and show us the below-mentioned points from social media platforms Instagram, TikTok, Facebook, and youtube. We need to show this data/matrices in our upcoming Product SaaS

1. Full Name 
2. Profile Image 
3. Country
4. Bio
5. Followers count
6. Recent 20 posts
7. Avg Post Views
8. Engagement Rate
9. Gender Ratio
10. Audience age by gender in %
11. Audience location in %
12. Average Comments
13. Average Likes";Data Scraping
"Immediately Hire and needs to complete before this weekend.
These are the following tasks. Done is already completed, and Not Done needs to be completed.

1. Create data sets for training (already created)
• Semantic labeling: Nodes shall be labeled by their semantics, e.g., adder, multiplier,  multiplexer, etc. (Already worked)
• Inferring hierarchy: Nodes belonging to the same submodules shall be labeled  and  the hierarchy among submodules shall be extracted (Already worked) 
2. Explore GNN architectures for semantic inference (is not done) 
• Determine possible input layers for representing the circuits 
• Determine how subcircuits that are parts of larger circuits are extracted for inference.
3. Benchmarking (not done)
Immediately hire. The attached paper is the reference. Rar file is the source and the main working file name is circuitDatasetCreation.py.";Python
"Hi, 

I am looking for someone to crawl Google's top 50 results, and top 50 results in Google Shopping, of 4,000 keywords.
The data I need is the domain(or full url), and what ranking it was, and what keyword. 

Looking for a quick turnaround time.";Data Scraping
We're looking for an analyst to help us add new Retool and metabase dashboards for our growth and internal ops teams. We have the resources set up, so it's really more about writing a few queries in SQL and making sure the dashboards are intuitive for them to use. Part time, but recurring work, that usually needs to be responded to within 24 hours.;Data Analysis
"We need someone to create and deploy an NLP engine that will injest email text and let us know if the email is an out-of-office email or not.

In addition to that it needs to let us know through data parsing when the person who replied will be back in the office.

The code needs to be accessible via an API call, and needs to deployed into an AWS environment";Data Scraping
I am looking for a machine learning expert to develop a toolkit which creates templates (output) based on existing reports it has been fed (input). For an MVP I would like to use several reports of a specific document type (to be defined) used in a highly regulated field ( medical device, pharma);Data Science
"2. Target Audience + Context 15 %
Describe the target audience and the context . In case of datasets 2 and 3 you can imagine about it.
In the description you should answer questions as : Who they are? , what kind of decision do they take
in daily routine? what kind of “problems” can they have? what they can “need” to get better
performance ? Summarizing what will be interesting to get answered using your datasets to provide
business insights. The 5W1H scheme can help. Be aware that sometimes, you can’t solve all the problems or needs completely
.
In short, it is a question of understanding the mental model of users so that you can design dashboard or data visualization products adapted to their objectives, abilities and the context in which they will be used.

3. EDA – Exploratory Data Analysis 15 %
Explore dataset with descriptive analytics to understanding of the data (for examples calculating some statistics like mean, median, quartiles, box plots, scatterplots....) And extract some previous ideas for hypothesis.
4. SPSI – MECE 20%
Apply Situation , Problem. Solution, Impact (SPSI) create, and validate your initial hypothesis with MECE logic tree. Define and formulate the problem you want to solve, and explain it briefly.

5. Storyboard & KPI 15%
Applying dashboard storyboard , KPI Snapshot , Trends , Actions (this one optional) define your KPI and possible charts
6. Sketch/wireframe and visuals 10 %
Sketch you visuals and design you dashboard layout (minimum one page) and
visuals ( you can do it by hand or using Miro o Moqups) It will be appreciated if you
show how you will display the same data in 2 o 3 different chart types, for the desire
7 . Create your dashboard or visualization 15 %
Using Power BI or Google Data Studio. create a basic report/dashboard showcasing
the designed dashboard. ( minimum one page).";Google Data Studio
"I have a google sheet that i am using to create some measurable KPI's for our sign printing factory.

I am wanting to create a good visual, attractive dashboard in order to display this data real time on app or online dashboard for the production and management to keep eye on.

Monthly setup will mean going into the sheet - entering dates, sales targets & clearing out the old months data
these fields are indicated in blue

At the end of each day - the production manager will take the data from the print production system and enter to the sheet. 
this is the 2 fields - MTD completed figure and the current WIP (Work in progress) figure. 

As the month runs down - the production days in the month are less and the average per day required to manufacturer is calculated - based on the target

the key figures we want displayed is:
- Sales required to hit target
- Production Work required to hit target
- Average per day required to hit target
- Total MTD completed 
- Total WIP Balance
Also - a graph of each days production - bar.
xls file attached.

thank you";Data Visualization
